amzn_price-history-1st Jan 2019-30th Nov 2020
Time,Open,High,Low,Last,Volume
01/03/2020,1864.5,1886.196,1864.5,1874.97,3766600
01/06/2020,1860,1903.69,1860,1902.88,4065600
01/07/2020,1904.5,1913.89,1892.043,1906.86,4134000
01/08/2020,1898.04,1911,1886.445,1891.97,3511900
01/09/2020,1909.89,1917.82,1895.804,1901.05,3174900
01/10/2020,1905.37,1906.94,1880,1883.16,2856900
01/13/2020,1891.31,1898,1880.8,1891.3,2785800
01/14/2020,1885.88,1887.11,1858.55,1869.44,3446300
01/15/2020,1872.25,1878.86,1855.09,1862.02,2896500
01/16/2020,1882.99,1885.59,1866.02,1877.94,2659400
01/17/2020,1885.89,1886.64,1857.25,1864.72,3997300
01/21/2020,1865,1894.27,1860,1892,3707700
01/22/2020,1896.09,1902.5,1883.34,1887.46,3216200
01/23/2020,1885.11,1889.975,1872.76,1884.58,2484600
01/24/2020,1891.37,1894.99,1847.44,1861.64,3766100
01/27/2020,1820,1841,1815.34,1828.34,3528500
01/28/2020,1840.5,1858.11,1830.02,1853.25,2808000
01/29/2020,1864,1874.75,1855.02,1858,2101300
01/30/2020,1858,1872.87,1850.61,1870.68,6327400
01/31/2020,2051.47,2055.72,2002.27,2008.72,15567200
02/03/2020,2010.6,2048.5,2000.25,2004.2,5899100
02/04/2020,2029.88,2059.8,2015.37,2049.67,5289300
02/05/2020,2071.02,2071.02,2032,2039.87,4376100
02/06/2020,2041.02,2056.3,2024.8,2050.23,3182900
02/07/2020,2041.99,2098.53,2038.1,2079.28,5095300
02/10/2020,2085.01,2135.6,2084.96,2133.91,5056200
02/11/2020,2150.9,2185.95,2136,2150.8,5746000
02/12/2020,2163.2,2180.25,2155.29,2160,3334200
02/13/2020,2144.99,2170.28,2142,2149.87,3031700
02/14/2020,2155.68,2159.035,2125.89,2134.87,2606100
02/18/2020,2125.02,2166.07,2124.105,2155.67,2951000
02/19/2020,2167.8,2185.1,2161.12,2170.22,2561100
02/20/2020,2173.07,2176.79,2127.45,2153.1,3131300
02/21/2020,2142.15,2144.55,2088,2095.97,4650700
02/24/2020,2003.18,2039.295,1987.974,2009.29,6546900
02/25/2020,2026.42,2034.6,1958.42,1972.74,6219000
02/26/2020,1970.28,2014.67,1960.45,1979.59,5240400
02/27/2020,1934.38,1975,1882.76,1884.3,8143900
02/28/2020,1814.26,1889.76,1811.129,1883.75,9493700
03/02/2020,1906.49,1954.51,1870,1953.95,6761600
03/03/2020,1975.37,1996.33,1888.09,1908.99,7533400
03/04/2020,1946.57,1978,1922,1975.83,4772900
03/05/2020,1933,1960.72,1910,1924.03,4748200
03/06/2020,1875,1910.87,1869.5,1901.09,5273500
03/09/2020,1773.86,1862.77,1761.29,1800.61,7813200
03/10/2020,1870.88,1894.27,1818.17,1891.82,7133300
03/11/2020,1857.85,1871.319,1801.5,1820.86,5646800
03/12/2020,1721.98,1765,1675,1676.61,11346200
03/13/2020,1755,1786.31,1680.62,1785,8809700
03/16/2020,1641.51,1759.452,1626.032,1689.15,8917200
03/17/2020,1775.47,1857.775,1689.24,1807.84,10917100
03/18/2020,1750,1841.66,1745,1830,9645200
03/19/2020,1860,1945,1832.65,1880.93,10399900
03/20/2020,1926.31,1957,1820.73,1846.09,9817800
03/23/2020,1827.75,1919.4,1812,1902.83,7808400
03/24/2020,1951.495,1955,1900.34,1940.1,7147000
03/25/2020,1920.69,1950.26,1885.78,1885.84,6479000
03/26/2020,1902,1956.49,1889.29,1955.49,6235100
03/27/2020,1930.86,1939.79,1899.92,1900.1,5387800
03/30/2020,1922.83,1973.63,1912.34,1963.95,6126000
03/31/2020,1964.35,1993.02,1944.01,1949.72,5123600
04/01/2020,1932.97,1944.96,1893,1907.7,4121800
04/02/2020,1901.64,1927.526,1890,1918.83,4335900
04/03/2020,1911.15,1926.33,1889.15,1906.59,3609800
04/06/2020,1936,1998.52,1930.02,1997.59,5773100
04/07/2020,2017.11,2035.72,1997.62,2011.6,5113900
04/08/2020,2021,2044,2011.15,2043,3977300
04/09/2020,2044.3,2053,2017.66,2042.76,4655600
04/13/2020,2040,2180,2038,2168.87,6716700
04/14/2020,2200.47,2292,2186.21,2283.32,8087100
04/15/2020,2257.68,2333.369,2245,2307.68,6866500
04/16/2020,2346,2460.998,2335,2408.19,12038200
04/17/2020,2372.33,2400,2316.02,2375,7930000
04/20/2020,2389.95,2444.98,2386.05,2393.61,5770600
04/21/2020,2416.61,2428.31,2279.66,2328.12,7476600
04/22/2020,2369,2394,2351,2363.49,4218200
04/23/2020,2399.98,2424.22,2382.08,2399.45,5066500
04/24/2020,2417,2420.433,2382,2410.22,3831700
04/27/2020,2443.2,2444.88,2363,2376,5645600
04/28/2020,2372.1,2373.5,2306,2314.08,5269400
04/29/2020,2330.01,2391.89,2310,2372.71,4591500
04/30/2020,2419.84,2475,2396.01,2474,9534600
05/01/2020,2336.8,2362.44,2258.19,2286.04,9772600
05/04/2020,2256.38,2326.98,2256.38,2315.99,4865900
05/05/2020,2340,2351,2307.125,2317.8,3242400
05/06/2020,2329.44,2357.45,2320,2351.26,3117800
05/07/2020,2374.78,2376,2343.11,2367.61,3396400
05/08/2020,2372.14,2387.245,2357,2379.61,3211200
05/11/2020,2374.7,2419.665,2372.11,2409,3259200
05/12/2020,2411.85,2419,2355,2356.95,3074900
05/13/2020,2366.8,2407.7,2337.805,2367.92,4782900
05/14/2020,2361.01,2391.37,2353.21,2388.85,3648100
05/15/2020,2368.52,2411,2356.37,2409.78,4234900
05/18/2020,2404.35,2433,2384.01,2426.26,4366500
05/19/2020,2429.83,2484.995,2428.97,2449.33,4320400
05/20/2020,2477.87,2500.01,2467.27,2497.94,3998100
05/21/2020,2500,2525.45,2442.54,2446.74,5114400
05/22/2020,2455.01,2469.85,2430.13,2436.88,2867000
05/26/2020,2458,2462,2414.06,2421.86,3568100
05/27/2020,2404.99,2413.58,2330,2410.39,5056900
05/28/2020,2384.33,2436.97,2378.23,2401.1,3193100
05/29/2020,2415.94,2442.37,2398.197,2442.37,3529300
06/01/2020,2448,2476.93,2444.17,2471.04,2938000
06/02/2020,2467,2473.53,2445.31,2472.41,2529900
06/03/2020,2468.01,2488,2461.17,2478.4,2671000
06/04/2020,2477.43,2507.54,2450.01,2460.6,2948700
06/05/2020,2444.51,2488.645,2437.13,2483,3306400
06/08/2020,2500.2,2530,2487.335,2524.06,3970600
06/09/2020,2529.44,2626.43,2525,2600.86,5175900
06/10/2020,2645,2722.35,2626.26,2647.45,4946000
06/11/2020,2598,2671.38,2536.23,2557.96,5800100
06/12/2020,2601.21,2621.477,2503.35,2545.02,5436100
06/15/2020,2526.6,2584,2508,2572.68,3873300
06/16/2020,2620,2620,2576,2615.27,3595600
06/17/2020,2647.5,2655,2631.82,2640.98,2959300
06/18/2020,2647.01,2659.64,2636.11,2653.98,2487700
06/19/2020,2678.08,2697.43,2659,2675.01,5776900
06/22/2020,2684.5,2715,2669,2713.82,3208700
06/23/2020,2726.02,2783.11,2718.04,2764.41,4231700
06/24/2020,2780.4,2796,2721,2734.4,4526600
06/25/2020,2739.55,2756.23,2712.14,2754.58,2968600
06/26/2020,2775.056,2782.569,2688,2692.87,6500700
06/29/2020,2690.01,2696.8,2630.08,2680.38,4223400
06/30/2020,2685.06,2769.63,2675.03,2758.82,3769600
07/01/2020,2757.99,2895,2754,2878.7,6363400
07/02/2020,2912.01,2955.56,2871.102,2890.3,6593300
07/06/2020,2934.97,3059.88,2930,3057.04,6880600
07/07/2020,3058.55,3069.55,2990,3000.12,5257500
07/08/2020,3022.61,3083.97,3012.43,3081.11,5037600
07/09/2020,3115.99,3193.88,3074.002,3182.63,6388600
07/10/2020,3191.76,3215,3135.7,3200,5485900
07/13/2020,3251.06,3344.29,3068.39,3104,7720400
07/14/2020,3089,3127.38,2950,3084,7231900
07/15/2020,3080.23,3098.35,2973.18,3008.87,5788800
07/16/2020,2971.06,3032,2918.23,2999.9,6394200
07/17/2020,3009,3024,2948.45,2961.97,4761300
07/20/2020,3000.2,3201.36,2994.017,3196.84,7598100
07/21/2020,3232.49,3240.576,3105.72,3138.29,6134900
07/22/2020,3125,3150,3065.26,3099.91,4104200
07/23/2020,3098.27,3098.271,2970,2986.55,5656900
07/24/2020,2930,3031.58,2888,3008.91,5632400
07/27/2020,3062,3098,3015.77,3055.21,4170400
07/28/2020,3054.27,3077.093,2995.76,3000.33,3126600
07/29/2020,3030.99,3039.159,2996.77,3033.53,2974000
07/30/2020,3014,3092,3005,3051.88,6128200
07/31/2020,3244,3246.82,3151,3164.68,8083300
08/03/2020,3180.51,3184,3104,3111.89,5074600
08/04/2020,3101.21,3167.24,3101.21,3138.83,4694200
08/05/2020,3143.77,3213.586,3127.3,3205.03,3930000
08/06/2020,3194.36,3247.47,3165.43,3225,3940600
08/07/2020,3224.01,3240.81,3140.673,3167.46,3936100
08/10/2020,3170.31,3172.51,3101.52,3148.16,3167200
08/11/2020,3113.2,3159.22,3073,3080.67,3718000
08/12/2020,3108,3174.385,3101.42,3162.24,3527200
08/13/2020,3182.99,3217.521,3155,3161.02,3149000
08/14/2020,3178.18,3178.236,3120,3148.02,2751700
08/17/2020,3173.12,3194.97,3154.177,3182.41,2691200
08/18/2020,3212,3320,3205.819,3312.49,5345900
08/19/2020,3303.01,3315.9,3256,3260.48,4185100
08/20/2020,3252,3312.62,3238,3297.37,3332400
08/21/2020,3295,3314.396,3275.39,3284.72,3575800
08/24/2020,3310.15,3380.315,3257.561,3307.46,4666200
08/25/2020,3294.99,3357.4,3267,3346.49,3992800
08/26/2020,3351.11,3451.739,3344.568,3441.85,6508700
08/27/2020,3450.05,3453,3378,3400,4264700
08/28/2020,3423,3433.37,3386.5,3401.8,2896900
08/31/2020,3408.99,3495,3405,3450.96,4185800
09/01/2020,3489.58,3513.87,3467,3499.12,3476400
09/02/2020,3547,3552.25,3486.685,3531.45,3931400
09/03/2020,3485,3488.41,3303,3368,8161100
09/04/2020,3318,3381.5,3111.13,3294.62,8781700
09/08/2020,3144,3250.845,3130,3149.84,6094200
09/09/2020,3202.99,3303.175,3185,3268.61,5188600
09/10/2020,3307.22,3349.89,3170.55,3175.11,5330700
09/11/2020,3208.69,3217.341,3083.98,3116.22,5093900
09/14/2020,3172.94,3187.39,3096,3102.97,4529500
09/15/2020,3136.16,3175.02,3108.92,3156.13,4021500
09/16/2020,3179.99,3187.238,3074.15,3078.1,4531100
09/17/2020,3009.25,3029.432,2972.55,3008.73,6449000
09/18/2020,3031.74,3037.8,2905.54,2954.91,8892500
09/21/2020,2906.5,2962,2871,2960.47,6117900
09/22/2020,3033.83,3133.99,3000.2,3128.99,6948800
09/23/2020,3120.43,3126.999,2992.376,2999.86,5652600
09/24/2020,2977.79,3069.3,2965,3019.79,5529300
09/25/2020,3054.86,3101.54,2999,3095.13,4615200
09/28/2020,3148.85,3175.04,3117.168,3174.05,4224100
09/29/2020,3175.39,3188.26,3132.54,3144.88,3503300
